{province=北京市, district=null, code=110000, depict=北京市, city=null, parentCode=086, base=bj}
{province=北京市, district=东城区, code=110101, depict=北京市东城区, city=北京市, parentCode=110000, base=null}
{province=北京市, district=东城区, code=110102, depict=北京市东城区, city=北京市, parentCode=110000, base=null}
{province=北京市, district=崇文区, code=110103, depict=北京市崇文区, city=北京市, parentCode=110000, base=null}
{province=北京市, district=宣武区, code=110104, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=朝阳区, code=110105, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=丰台区, code=110106, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=石景山区, code=110107, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=海淀区, code=110108, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=门头沟区, code=110109, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=房山区, code=110111, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=通州区, code=110112, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=顺义区, code=110113, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=昌平区, code=110114, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=大兴区, code=110115, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=昌平, code=110221, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=顺义, code=110222, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=通县, code=110223, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=大兴县, code=110224, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=房山, code=110225, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=平谷县, code=110226, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=怀柔县, code=110227, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=密云县, code=110228, depict=null, city=北京市, parentCode=110000, base=null}
{province=北京市, district=延庆县, code=110229, depict=null, city=北京市, parentCode=110000, base=null}
{province=天津市, district=null, code=120000, depict=天津市, city=null, parentCode=086, base=tj}
{province=天津市, district=和平区, code=120101, depict=天津市和平区, city=天津市, parentCode=120000, base=null}
{province=天津市, district=河东区, code=120102, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=河西区, code=120103, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=南开区, code=120104, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=河北区, code=120105, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=红桥区, code=120106, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=null, code=120107, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=null, code=120108, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=null, code=120109, depict=null, city=天津市, parentCode=120000, base=null}
{province=天津市, district=null, code=120110, depict=null, city=天津市, parentCode=120000, base=null}
